cosa	color
Obras(Abierto Simplificado)	#66FF66
Obras(Abierto)	#66FF67
Obras(Menor)	#66FF68
Obras(Otros)	#66FF69
Otros(Abierto)	#66CC00
Otros(Menor)	#66CC01
Privado(Negociado sin publicidad)	#006699
Privado(Otros)	#006700
Privado(Restringido)	#006701
Servicios	#0099FF
Servicios(Abierto Simplificado)	#0099FF
Servicios(Abierto)	#0099FF
Servicios(Menor)	#0099FF
Servicios(Negociado sin publicidad)	#0099FF
Servicios(Otros)	#0099FF
Servicios(Restringido)	#0099FF
Sujetos otras normas(Abierto)	#FF00CC
Sujetos otras normas(Enajenaci贸n directa)	#FF00CC
Sujetos otras normas(SIN requisitos de solvencia profesional o econ贸mica, con presentaci贸n de memoria comercial y ofertas econ贸micas.)	#FF00CC
Suministros	#9900FF
Suministros(Abierto Simplificado)	#9900FF
Suministros(Abierto)	#9900FF
Suministros(Basado en Acuerdo Marco)	#9900FF
Suministros(Menor)	#9900FF
Suministros(Negociado sin publicidad)	#9900FF
Suministros(Otros)	#9900FF
